"date","province","country","lat","long","type","cases"
2020-07-26,"","Trinidad and Tobago",10.6918,-61.2225,"confirmed",156
2020-07-26,"","Tunisia",33.886917,9.537499,"confirmed",1488
2020-07-26,"","Turkey",38.9637,35.2433,"confirmed",228924
2020-07-26,"","Uganda",1.373333,32.290275,"confirmed",1140
2020-07-26,"","Ukraine",48.3794,31.1656,"confirmed",67597
2020-07-26,"","United Arab Emirates",23.424076,53.847818,"confirmed",59921
2020-07-26,"","United Kingdom",55.3781,-3.436,"confirmed",301455
2020-07-26,"","Uruguay",-32.5228,-55.7658,"confirmed",1215
2020-07-26,"","Uzbekistan",41.377491,64.585262,"confirmed",22585
2020-07-26,"","Venezuela",6.4238,-66.5897,"confirmed",16571
2020-07-26,"","Vietnam",14.058324,108.277199,"confirmed",450
2020-07-26,"","West Bank and Gaza",31.9522,35.2332,"confirmed",163
2020-07-26,"","Western Sahara",24.2155,-12.8858,"confirmed",10
2020-07-26,"","Yemen",15.552727,48.516388,"confirmed",1711
2020-07-26,"","Zambia",-13.133897,27.849332,"confirmed",5249
2020-07-26,"","Zimbabwe",-19.015438,29.154857,"confirmed",2817
2020-07-26,"Alberta","Canada",53.9333,-116.5765,"confirmed",115246
2020-07-26,"Beijing","China",40.1824,116.4142,"confirmed",84060
2020-07-26,"British Virgin Islands","United Kingdom",18.4207,-64.64,"confirmed",8
2020-07-26,"Cayman Islands","United Kingdom",19.3133,-81.2546,"confirmed",203
2020-07-26,"Channel Islands","United Kingdom",49.3723,-2.3644,"confirmed",587
2020-07-26,"Curacao","Netherlands",12.1696,-68.99,"confirmed",29
2020-07-26,"Diamond Princess","Canada",0,0,"confirmed",712
2020-07-26,"Faroe Islands","Denmark",61.8926,-6.9118,"confirmed",22
2020-07-26,"Manitoba","Canada",53.7609,-98.8139,"confirmed",6
2020-07-26,"New South Wales","Australia",-33.8688,151.2093,"confirmed",17
2020-07-26,"Newfoundland and Labrador","Canada",53.1355,-57.6604,"confirmed",1
2020-07-26,"Ningxia","China",37.2692,106.1655,"confirmed",0
2020-07-26,"Northern Territory","Australia",-12.4634,130.8456,"confirmed",0
2020-07-26,"Northwest Territories","Canada",64.8255,-124.8457,"confirmed",0
2020-07-26,"Nova Scotia","Canada",44.682,-63.7443,"confirmed",0
2020-07-26,"Ontario","Canada",51.2538,-85.3232,"confirmed",101
2020-07-26,"Prince Edward Island","Canada",46.5107,-63.4168,"confirmed",0
2020-07-26,"Qinghai","China",35.7452,95.9956,"confirmed",0
2020-07-26,"Quebec","Canada",52.9399,-73.5491,"confirmed",169
2020-07-26,"Queensland","Australia",-27.4698,153.0251,"confirmed",0
2020-07-26,"Saint Pierre and Miquelon","France",46.8852,-56.3159,"confirmed",0
2020-07-26,"Saskatchewan","Canada",52.9399,-106.4509,"confirmed",42
2020-07-26,"Turks and Caicos Islands","United Kingdom",21.694,-71.7979,"confirmed",5
2020-07-26,"Victoria","Australia",-37.8136,144.9631,"confirmed",15580 
